deal_title,investor_company,investor_role,investment_amount_usd
Doctronic — Early Stage VC (2025-09),"Davidovs Venture Collective, Fei-Fei Li, Hacker Fellowship Zero, Jay Desai, Lightspeed Venture Partners, Mantis VC, Scott Belsky, Seven Stars Ventures, Tusk Ventures, Union Square Ventures",PARTICIPANT,
Marvix AI — Seed Round (2025-09),"Leo Capital, SeedToB Capital",PARTICIPANT,
CBSET — Buyout/LBO (2025-09),Arlington Capital Partners,PARTICIPANT,
Mother of Fact — Seed Round (2025-09),"EcotoneGrowth Ventures, EforAll, gBETA, GrowthX Capital, Maine Venture Fund, Mass Digital Health, Roux Institute at Northeastern University, StartUp Health, Techstars, The Paragon Group, Village Capital",PARTICIPANT,
Diana Health — Later Stage VC (2025-09),".406 Ventures, AlleyCorp, HealthQuest Capital, LRVHealth, Norwest",PARTICIPANT,
Nurture Genomics — Early Stage VC (2025-09),"Bantam Group, CH Innovations, HealthTech Capital, Impact Assets",PARTICIPANT,
BranchLab — Early Stage VC (2025-09),"AJI Capital, Aperiam Ventures, Next Ventures (Texas), nvp capital, Service Provider Capital, Swift Ventures, Textbook Ventures",PARTICIPANT,
Sharp Performance — Seed Round (2025-09),"A*, Andreessen Horowitz, Commonweal Ventures, Formation (New York), Liquid 2 Ventures, Siesta Ventures, SV Angel",PARTICIPANT,
Joint Ai (Clinics/Outpatient Services) — Early Stage VC (2025-09),"Richard King Mellon Foundation, Supply Chain Ventures",PARTICIPANT,
Accendo — PE Growth/Expansion (2025-09),1585 Healthcare,PARTICIPANT,
Anjo.ai — Early Stage VC (2025-09),"AllerFund Ventures, The Consortium for Technology & Innovation in Pediatrics",PARTICIPANT,
FOLX Health — Later Stage VC (2025-09),"7wire Ventures, Bessemer Venture Partners, Define Ventures, Foresite Capital, Polaris Partners, Seae Ventures",PARTICIPANT,
Honeydew (Clinics/Outpatient Services) — Early Stage VC (2025-09),"Arch Grants, Browder Capital, Footwork",PARTICIPANT,
Jana — Early Stage VC (2025-09),GrowthX Capital,PARTICIPANT,
LightForce — Later Stage VC (2025-09),"Acceleration International, Ally Bridge Group, AM Ventures, American Association of Orthodontists, CareCapital, Delta Dental of California, Dental Innovation Alliance, Kleiner Perkins, MassChallenge, Matrix, Matter Venture Partners, Omega Venture Partners, Transformation Capital, Trinity Capital (Phoenix), Tyche Partners",PARTICIPANT,
Nix — Later Stage VC (2025-09),"Black Lab Sports, Business Development Bank of Canada, Capital Q Ventures, Great Oaks Venture Capital, Harvard Innovation Launch Lab, iSelect Fund, Jonathan Sheffi, LionTree Partners, MassChallenge, Oregon Sports Angels, Shorewind Capital, Stadia Ventures, Techstars, The MBA Fund, Tillman Venture Partners, White Road Investments",PARTICIPANT,
Perx Health — Later Stage VC (2025-09),"Airtree Ventures, ANDHealth, Artesian, Blackbird Ventures (US), Brandon Capital, Giant Leap, HCF Catalyst, Jobs for NSW, Matter (Consulting Services (B2B)), Plug and Play Tech Center, RHL Ventures, Slingshot Ventures, Startmate, Tenmile, Tractor Ventures, Wild Wood Ventures, YMF Investments",PARTICIPANT,
CareCentrix — Buyout/LBO (2025-08),Sycamore Partners,PARTICIPANT,
Medical Brain — Later Stage VC (2025-08),"Seed Healthcare, Thornapple River Capital",PARTICIPANT,
Arcadia Solutions — Buyout/LBO (2025-08),Nordic Capital,PARTICIPANT,
FallCall Solutions — Seed Round (2025-08),"AgeTech Collaborative, Connecticut Innovations, CTNext, Ratan Agarwal",PARTICIPANT,
Accident Care Alliance — Leveraged Recapitalization (2025-08),Garnett Station Partners,PARTICIPANT,
Cascala Health — Seed Round (2025-08),"Digital Health Venture Partners, Eniac Ventures, Flare Capital Partners, Omega Healthcare Investors, Redesign Health, Tau Ventures, Ziegler Healthcare Capital",PARTICIPANT,
Enzo Biochem — Buyout/LBO (2025-08),Battery Ventures,PARTICIPANT,
Somite — Early Stage VC (2025-08),"Ajinomoto, AMD Ventures, Astellas Venture Management, BC Growth Equity, Chan Zuckerberg Initiative, Conscience, Conviction Partners, DarkMode Ventures, Dhuna Ventures, Factorial Funds, Fidji Simo, Fusion Fund, Harpoon VC, Harvard Innovation Launch Lab, Kendra Harris, Khosla Ventures, Lerer Hippeau, Mark VC, Martin Chavez, Montage Ventures, Nachum Shamir, Next Coast Ventures, Paul Harris, Pitango Venture Capital, Samsung NEXT Ventures, SciFi VC, TechAviv Founder Partners, Texas Venture Partners, Trust Ventures",PARTICIPANT,
Wisdom — Early Stage VC (2025-08),"Aquiline (New York), Juxtapose, Permanent Capital (Investor), R2 Ventures",PARTICIPANT,
Outcome Referrals — Seed Round (2025-08),National Institutes of Health,PARTICIPANT,
Cartwheel (Healthcare Services) — Early Stage VC (2025-08),"Able Partners, Alumni Ventures, A-Street, BoxGroup, General Catalyst, Menlo Ventures, Oxeon Partners, Reach Capital, Venture Workshop, Workshop Ventures",PARTICIPANT,
Advanced TelePsych — Early Stage VC (2025-08),"Connecticut Innovations, Hesperia Capital",PARTICIPANT,
PigPug Health — Later Stage VC (2025-08),"MiLA Capital, Multiple Hub, NYC Startup Leadership Program, Rev: Ithaca Startup Works, Southwest National Pediatric Device Innovation Consortium, StartUp Health, TechMinsk",PARTICIPANT,
ReferWell — Later Stage VC (2025-08),"Blueprint Health, Connecticut Innovations, Health Catalyst Capital Management, Meyer Ventures Investments, New York Angels, Viewside Capital Partners, Zeal Tech",PARTICIPANT,
Isaac Health — Early Stage VC (2025-08),"AirAngels, Aurum Venture Partners, B Capital Group, Black Opal Ventures, CoFound Partners, Flare Capital Partners, Industry Ventures, Meridian Street Capital, Primetime Partners, UCSF Rosenman Institute, United Healthcare Accelerator, VU Venture Partners",PARTICIPANT,
Peerbridge Health — Later Stage VC (2025-08),"Ascent Biomedical Ventures, HealthTech Arkansas, HealthX Ventures, HeartX Accelerator, Kinled Holding, MedTech Innovator, Mendota Venture Capital",PARTICIPANT,
Aidin — Later Stage VC (2025-08),"Activate Venture Partners, Andrew Dunn, Bilal Zuberi, Blueprint Health, Cedars-Sinai Accelerator, Charles Songhurst, David Eisenberg, FCA Venture Partners, General Catalyst, Healthcare Angels, HLM Investment Partners, New York Digital Health Innovation Lab, Oakwood Circle Ventures, Red Swan Ventures, Rohit Keswani, Romulus Capital, Techstars, Vin Fabiani, XLerateHealth",PARTICIPANT,
Circadian OS — Seed Round (2025-08),"IndieBio, SOSV",PARTICIPANT,
Elder Care Homecare — PE Growth/Expansion (2025-08),"Rallyday Partners, Stellus Capital Management",PARTICIPANT,
Thirty Madison — Merger/Acquisition (2025-08),"137 Ventures, Alpha Partners, Alumni Ventures, Atacama Ventures, Benjamin Cogan, Bracket Capital, Calm Ventures, Catapult VC, Comcast Ventures, Concept to Co, CVS Health Ventures, Divya Gugnani, Elkstone, Entrepreneurs Roundtable Accelerator, ERA (Automation/Workflow Software), Evolution VC Partners, First Round Capital, Four Cities Capital, Gaingels, Greycroft, Hayley Barna, HealthQuest Capital, HillCour Capital, Imaginary Ventures, Johnson and Johnson JJDC, Maveron, Mousse Partners, Niche Capital (San Francisco), Nordstar Partners, Northzone Ventures, Polaris Partners, Remarkable Ventures, Rosecliff Venture Partners, Sand Hill Angels, STEADFAST Capital Ventures, Tournon Ventures, Two River Ventures, Union Square Ventures, Ventioneers, Wittington Ventures",PARTICIPANT,
Kestrel Therapeutics — Later Stage VC (2025-08),"Cormorant Asset Management, Harvard Innovation Launch Lab, Pfizer Ventures, S32, Santé Ventures",PARTICIPANT,
Method AI — Early Stage VC (2025-08),"Cleveland Clinic, JobsOhio Growth Capital",PARTICIPANT,
Summus — Later Stage VC (2025-08),"ArgyleRoad, Danaher, Glenstone Foundation, Outsiders Fund, Sator Grove Holdings, Savoy Capital (Texas), Teamworthy Group",PARTICIPANT,
Laptis — Early Stage VC (2025-08),"Harvard HealthLab Accelerators, Lightbank (Venture Capital), MIT Solve, O'Leary Ventures",PARTICIPANT,
Quartet Health — PE Growth/Expansion (2025-08),California Health Care Foundation,PARTICIPANT,
A Place for Mom — Debt - General (2025-07),"General Atlantic, Insight Partners (New York), Silver Lake",PARTICIPANT,
Journey Meditation — Later Stage VC (2025-07),"37 Angels, Akatsuki Entertainment Technology Fund, Alumni Ventures, Band of Angels, Basecamp Fund, BDMI, Betaworks, Brooklyn Bridge Ventures, Cambrian Growth Partners, Canaan Partners, City Light Capital, Courtside Ventures, Erik de Stefanis, Everywhere Ventures, Gaingels, HealthTech Capital, ID8 Investments, J4.Ventures, J-Impact, Joyance Partners, J-Ventures, Life Science Angels, ManchesterStory, Matthew Caspari, Miami Angels, Nelstone Ventures, New York Angels, New York Venture Partners, North 50 Venture Capital, StartUp Health, Stephen Hays, Stormbreaker Ventures, Symbiotic Ventures, Verve Capital",PARTICIPANT,
Prognos Health — Debt - General (2025-07),"ARC Angel Fund, Bodhi Capital, Cigna Ventures, GIS Strategic Ventures, Guardian Life Insurance Company of America, Hermed Capital, Hikma Ventures, Labcorp Venture Fund, Marshall Wace, Maywic Select Investments, Montage Capital, MSD Global Health Innovation Fund, Red & Blue Ventures, Safeguard Scientifics, StartUp Health",PARTICIPANT,
Beam Health — Later Stage VC (2025-07),"AltaIR Capital, Chaos Ventures (New York), Comcast NBCUniversal LIFT Labs, Focal (VC), FoundersBoost, Green Egg Ventures, Joyance Partners, MATH Venture Partners, StartUp Health, TechNexus Venture Collaborative, Techstars",PARTICIPANT,
Aidoc — Later Stage VC (2025-07),"Alpha Intelligence Capital, Amazon Web Services, CDIB Capital International, Deep Learning, Emerge Ventures (Tel Aviv), General Catalyst, Google for Startups, Hartford HealthCare, Jibe Ventures, Magma Venture Partners, Maor Investments, Mercy, Microsoft for Startups, NVentures (Santa Clara), RISE (Accelerator), Shahar Tzafrir, Square Peg Capital, Sutter Health, Synetro Group, TCV, TLV Partners, WellSpan Health",PARTICIPANT,
Fortuna Health — Early Stage VC (2025-07),"Andreessen Horowitz, BoxGroup, Cyrus Massoumi, Ellen DaSilva, Elliott Cohen, Gershon Capital, Iyah Romm, Jeff Gerard, John Legend, Sequoia Capital, Sylvia Romm, Y Combinator",PARTICIPANT,
OpenEvidence — Later Stage VC (2025-07),"Brian Sheth, Coatue Management, Conviction Partners, Greycroft, GV, Jim Breyer, Kenneth Moelis, Kleiner Perkins, Sequoia Capital, Thrive Capital, Xfund, Ziff Davis",PARTICIPANT,
CoreMap — Later Stage VC (2025-07),"DRIVEN Accelerator Hub, Dudley Fund, Hula, MassMEDIC, Minnow Ventures, Northpoint Capital Group, P5 Health Ventures, Philips, Qure Ventures, Ronny Ginor, U. S. National Science Foundation, University Of Vermont Health Network",PARTICIPANT,
New England Fertility Institute — Merger/Acquisition (2025-07),"Corbel Capital Partners, Weave Growth Partners",PARTICIPANT,
The Difference Card — Buyout/LBO (2025-07),Stone Point Capital,PARTICIPANT,
Bloomer Tech — Grant (2025-06),"BCBS Health Equity Business Accelerator, Catalytic Impact Foundation, Draper University, Global MIT, Impact Assets, John Abele, Koa Labs, Massachusetts Institute of Technology, MassChallenge, MassVentures, Material Impact (Boston), MIT Delta V, MIT Sandbox, National Heart, Lung, and Blood Institute, ON Semiconductor, One Brave Idea, SBXi, Start-Up Chile, U.S. Department of Health and Human Services",PARTICIPANT,
Micro-Leads — Grant (2025-06),"Boston University, Defense Advanced Research Projects Agency, GSK, MassVentures, National Institutes of Health, National Institutes of Neurological Disorders and Stroke, U. S. National Science Foundation, U.S. Department of Health and Human Services, United States Department of War",PARTICIPANT,
ReFocus Eye Health — Debt - Acquisition (2025-06),Zenyth Partners,PARTICIPANT,
Theromics — Grant (2025-06),"Beacon Angels, Maroon Venture Partners, Massachusetts Medical Device Development Center, MassVentures, Rines Angel Fund, Sorin, U. S. National Science Foundation",PARTICIPANT,
Kinotek — Later Stage VC (2025-06),"BRIDGE Angel Investors, Lake Nona Fund, LEAD (Venture Capital), Maine Technology Institute, Maine Venture Fund, Microsoft, Roux Institute at Northeastern University, Taher Savliwala, Tavistock Development Company",PARTICIPANT,
Ursamin — Later Stage VC (2025-06),"Fulcrum Ventures, INSPYRE, Nashville Entrepreneur Center, Springboard Enterprises",PARTICIPANT,
Sword Health — Later Stage VC (2025-06),"ADQ, Aging2.0, Armilar Venture Partners, Ativar Portugal, AWRC Wellbeing Accelerator, BOND Capital (San Francisco), BPEA Private Equity, Building Global Innovators, Capitalis Partners, Comcast Ventures, Earl Grey Capital, EQT Private Capital Asia, European Union, Faber Ventures, Founders Fund, General Catalyst, Global Health Accelerator, Green Innovations, Hakluyt Capital, Highmark Ventures, Horizon 2020, Iberis Capital, Incubadora de Empresas da UA, Indico Capital Partners, Instituto Pedro Nunes, Khosla Ventures, Lachy Groom, Lince Capital, Locapes Investment Fund, Oxy Capital, Partners Group, Phoenix Court, Sapphire Ventures, Shilling (Portugal), Sozo Ventures, Spearhead (VC), Transformation Capital, Vesalius Biocapital Partners, Willoughby Capital, Zurich Innovation Championship",PARTICIPANT,
Suno (Enterprise Systems) — Seed Round (2025-06),Fractal Software,PARTICIPANT,
Assured Allies — Later Stage VC (2025-06),"Akilia Partners, Core Innovation Capital, EquiTrust Life Insurance Company, FinTLV Ventures, GUTS, Hamilton Lane, Harel Insurance Investments & Financial Services, Kaedan Capital, LionBird, Lumir Ventures, MS&AD Ventures, Nathaniel Turner, New Era Capital Partners, Plug and Play Tech Center, Poalim Equity, Samsung NEXT Ventures, Wilton Re",PARTICIPANT,
Verse Medical — Later Stage VC (2025-06),"Abstract Ventures, Buckley Ventures, FundersClub, Hiddentao Ventures, Immad Akhund, JAM Fund, Joshua Buckley, Mantis VC, Pareto Holdings, Paul Graham, Sapphire Ventures, SignalFire, Soma Capital, Twenty Two Ventures, Wayfinder Ventures, Webb Investment Network, Y Combinator",PARTICIPANT,
Carez AI — Early Stage VC (2025-06),Entrepreneurs Roundtable Accelerator,PARTICIPANT,
Cristcot — Later Stage VC (2025-06),"Scientia Ventures, Shepherd Kaplan Krochuk, StartUp Health",PARTICIPANT,
Reprieve Cardiovascular — Later Stage VC (2025-06),"Abiomed, Arboretum Ventures, Cadence Capital, Deerfield Healthcare Technology Acquisitions, Deerfield Management, Exigent Capital Group, Genesis Capital, Lightstone Ventures, Rex Health Ventures, Santé Ventures, Santen Ventures",PARTICIPANT,
Clara (New York) — Seed Round (2025-06),"Torch Capital, Virtue (Austin), Y Combinator",PARTICIPANT,
MyLaurel — Later Stage VC (2025-06),"10X Capital, Acumen America, Acumen Fund, Ascend (Holding Companies), Beresford Ventures, City Light Capital, Cross Culture Ventures, Deerfield Management, Emerson Collective, Founders Fund, Frist Cressey Ventures, Growth Technology Partners, GV, JAM Fund, Justin Mateen, Kapor Capital, MaC Venture Capital, MANA Tech, Mill Town Capital, New Orleans BioInnovation Center, New Orleans Entrepreneur Week, Ochsner Health, Perigrove, Pinta Capital Partners, Propeller (US), Revolution (Washington DC), Summit Action, The Idea Village, Town Hall Ventures, Weekend Fund",PARTICIPANT,
Sama Fertility — Early Stage VC (2025-06),"Artesian, Brinc (Hong Kong), Homu Health Ventures, Rootspring Ventures",PARTICIPANT,
Neru Health — Seed Round (2025-05),"Allston Venture Fund, Better Ventures, Entrepreneurs Roundtable Accelerator, Harvard Innovation Launch Lab, Kli Capital, Remarkable Ventures, StartOut Growth Lab, StartX (US)",PARTICIPANT,
Brooklyn Health — Seed Round (2025-05),"Blue Falcon Capital, Everywhere Ventures, HealthX Ventures, Hypothesis Studio, KohFounders, Laconia Capital Group, Metrodora Ventures, RiverPark Ventures, Story Ventures",PARTICIPANT,
SimpliFed — Seed Round (2025-05),"3CC | Third Culture Capital, American Heart Association Ventures, CoLAB Accelerator, Cultivation Capital, Elizabeth Street Ventures, Empire State Development, Ignite Healthcare Network, Impact Assets, KID Venture Capital, Mass Digital Health, Morningside Group, New York Ventures, Rev: Ithaca Startup Works, Social Impact Partners, Springboard Enterprises, Tampa Bay Wave, The Artemis Fund, The Venture Collective, Waterline Ventures, WBL Fellows Program",PARTICIPANT,
Mitotherapeutix — Seed Round (2025-05),"Connecticut Innovations, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, U.S. Department of Health and Human Services, United States Department of Agriculture, University of Connecticut Technology Incubation Program",PARTICIPANT,
Local Infusion — Early Stage VC (2025-05),"blisce/, Brand Foundry Ventures, Meridian Street Capital, Nashville Entrepreneur Center, PharmStars, Transformation Capital",PARTICIPANT,
Centivo — Mezzanine (2025-05),"Alumni Ventures, B Capital Group, Bain Capital Ventures, Bessemer Venture Partners, Company Ventures, Cone Health, Cox Enterprises, Define Ventures, Eight Roads, F-Prime Capital, Global Public Offering Fund, HarbourVest Partners, Ingleside Investors, James Foreman, JP Morgan Chase, Kenneth Goulet, Kevin Hill, Maverick Ventures, MemorialCare Innovation Fund, Morgan Health, Oxeon Partners, Parkway Venture Capital, Socium Ventures, Trinity Capital (Phoenix), Valspring Capital",PARTICIPANT,
Courage Therapeutics — Seed Round (2025-05),"Arsenal Bridge Ventures, Innovation Partnerships, Michigan Biomedical Venture Fund, NASA SBIR/STTR, U.S. Department of Health and Human Services, What If Ventures",PARTICIPANT,
Flourish Collective — Early Stage VC (2025-05),"Capita3, Catalytic Impact Foundation, Cherrystone Angel Group, Ignite Healthcare Network, Impact Assets, Neutrogena, Rogue Women, Slater Technology Fund, Springboard Enterprises, Symphonic Capital, Texas Halo Fund, WBL Fellows Program",PARTICIPANT,
Highland Instruments — Grant (2025-05),"Defense Advanced Research Projects Agency, MassVentures, National Center For Complementary And Integrative Health, National Institute of Diabetes and Digestive and Kidney Diseases, National Institute on Drug Abuse (NIDA), National Institutes of Arthritis and Musculoskeletal Diseases, National Institutes of Health, National Institutes of Neurological Disorders and Stroke",PARTICIPANT,
Intus Biosciences — Later Stage VC (2025-05),"Accelerator for Biosciences in Connecticut, Aimers Venture Partners, Connecticut Innovations, National Institute on Drug Abuse (NIDA), UConn Innovation Fund, University of Connecticut Technology Incubation Program, VC23 Investors",PARTICIPANT,
Lushi — Buyout/LBO (2025-05),"Allied Gold (Gold Mining), Ariel Kaye, Capital V, Health Engine Accelerator",PARTICIPANT,
Outro — Seed Round (2025-05),"Allan Kaplan, Arben Ventures, Brent Thomson, Cobre Capital, Hannah Grey Ventures, Hitchhiker Ventures, Integrated, Kickstart (US), Lionheart Ventures, Right Side Capital Management, Satori Capital, Sequence Equity, Startup Weekend, Techstars",PARTICIPANT,
Dock Health — Seed Round (2025-05),"10X Capital, Adam Weinstein, August Capital, Boston Children's Hospital, Cedars Sinai Health Ventures, Cedars-Sinai Accelerator, DaVita Venture Group, Gaingels, Innovation & Digital Health Accelerator, Jeffery Brown, Massachusetts Mutual Life Insurance, MassChallenge, MassMutual Impact Investing, Plug and Play Tech Center, Startup Creasphere, Techstars",PARTICIPANT,
PhaseV (Healthcare Technology Systems) — Early Stage VC (2025-05),"Accel, Exor, Gershon Capital, GETTY, Insight Partners (New York), LionBird, Viola Ventures",PARTICIPANT,
Hero (Healthcare Technology Systems) — Later Stage VC (2025-05),"Andrew Fine, BoxGroup, Brainchild (New York), Company Ventures, David Eisenberg, Elad Gil, Fritz Lanman, Humbition, Jennifer Rubio, Mont Alto Capital, Nat Turner, Naval Ravikant, Naveen Selvadurai, Red Cell Partners, Spider Capital, Stewart Butterfield, Tectonic Capital, Third Kind Venture Capital, Wormhole Capital, Zachary Weinberg",PARTICIPANT,
Spectrum Vision Partners — Debt - Acquisition (2025-05),"Blue Sea Capital, GCM Grosvenor, Hamilton Lane",PARTICIPANT,
EQUUM Medical — Debt - General (2025-05),Heritage Group (US),PARTICIPANT,
Tender (Healthcare Technology Systems) — Early Stage VC (2025-05),"1843 Capital, Cake Ventures, Equitage Ventures, FullCircle (New York), Hannah Grey Ventures, Laconia Capital Group, Overwater Ventures, Sequoia Capital",PARTICIPANT,
